date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:20:35	326/326	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2002%20May%202019%2015:50:35%20GMT	http://gambolthemes.net/robots.txt		(from )
21:20:36	43406/43406	---M-Z	200	added ('OK')	text/html	etag:%22b3a3461-a98e-567f913e75a80-gzip%22	http://gambolthemes.net/workwise_demo/HTML/	C:/Users/venkat/Desktop/friendbook/gambolthemes.net/workwise_demo/HTML/index.html	(from )
21:20:38	72259/72259	---M--	200	added ('OK')	text/css	etag:%22b3a33ae-11a43-5588f2f23db80%22	http://gambolthemes.net/workwise_demo/HTML/css/animate.css	C:/Users/venkat/Desktop/friendbook/gambolthemes.net/workwise_demo/HTML/css/animate.css	(from http://gambolthemes.net/workwise_demo/HTML/)
21:20:38	124934/124934	---M--	200	added ('OK')	text/css	etag:%22b3a33af-1e806-567a079f3c380%22	http://gambolthemes.net/workwise_demo/HTML/css/bootstrap.min.css	C:/Users/venkat/Desktop/friendbook/gambolthemes.net/workwise_demo/HTML/css/bootstrap.min.css	(from http://gambolthemes.net/workwise_demo/HTML/)
21:20:40	33063/33063	---M--	200	added ('OK')	text/css	etag:%22b3a33b4-8127-546f2dc8fe100%22	http://gambolthemes.net/workwise_demo/HTML/css/line-awesome.css	C:/Users/venkat/Desktop/friendbook/gambolthemes.net/workwise_demo/HTML/css/line-awesome.css	(from http://gambolthemes.net/workwise_demo/HTML/)
21:20:40	28099/28099	---M--	200	added ('OK')	text/css	etag:%22b3a33b7-6dc3-5470b57837a80%22	http://gambolthemes.net/workwise_demo/HTML/css/line-awesome-font-awesome.min.css	C:/Users/venkat/Desktop/friendbook/gambolthemes.net/workwise_demo/HTML/css/line-awesome-font-awesome.min.css	(from http://gambolthemes.net/workwise_demo/HTML/)
21:20:42	31000/31000	---M--	200	added ('OK')	text/css	etag:%22b3a33b1-7918-5588f2f426000%22	http://gambolthemes.net/workwise_demo/HTML/css/font-awesome.min.css	C:/Users/venkat/Desktop/friendbook/gambolthemes.net/workwise_demo/HTML/css/font-awesome.min.css	(from http://gambolthemes.net/workwise_demo/HTML/)
21:20:42	40733/40733	---M--	200	added ('OK')	text/css	etag:%22b3a33b2-9f1d-567cd1dd4df80%22	http://gambolthemes.net/workwise_demo/HTML/css/jquery.mCustomScrollbar.min.css	C:/Users/venkat/Desktop/friendbook/gambolthemes.net/workwise_demo/HTML/css/jquery.mCustomScrollbar.min.css	(from http://gambolthemes.net/workwise_demo/HTML/)
21:20:43	1776/1776	---M--	200	added ('OK')	text/css	etag:%22b3a3474-6f0-559061e257380%22	http://gambolthemes.net/workwise_demo/HTML/lib/slick/slick.css	C:/Users/venkat/Desktop/friendbook/gambolthemes.net/workwise_demo/HTML/lib/slick/slick.css	(from http://gambolthemes.net/workwise_demo/HTML/)
21:20:44	3145/3145	---M--	200	added ('OK')	text/css	etag:%22b3a3476-c49-559061e257380%22	http://gambolthemes.net/workwise_demo/HTML/lib/slick/slick-theme.css	C:/Users/venkat/Desktop/friendbook/gambolthemes.net/workwise_demo/HTML/lib/slick/slick-theme.css	(from http://gambolthemes.net/workwise_demo/HTML/)
21:20:44	7852/7852	---M--	200	added ('OK')	text/css	etag:%22b3a33b8-1eac-567f8f37a9280%22	http://gambolthemes.net/workwise_demo/HTML/css/responsive.css	C:/Users/venkat/Desktop/friendbook/gambolthemes.net/workwise_demo/HTML/css/responsive.css	(from http://gambolthemes.net/workwise_demo/HTML/)
21:20:46	91291/91291	---M--	200	added ('OK')	text/css	etag:%22b3a33b9-1649b-567f92366a380%22	http://gambolthemes.net/workwise_demo/HTML/css/style.css	C:/Users/venkat/Desktop/friendbook/gambolthemes.net/workwise_demo/HTML/css/style.css	(from http://gambolthemes.net/workwise_demo/HTML/)
21:20:47	43406/43406	---M-Z	200	added ('OK')	text/html	etag:%22b3a3461-a98e-567f913e75a80-gzip%22	http://gambolthemes.net/workwise_demo/HTML/index.html	C:/Users/venkat/Desktop/friendbook/gambolthemes.net/workwise_demo/HTML/index-2.html	(from http://gambolthemes.net/workwise_demo/HTML/)
21:20:48	2649/2649	---M--	200	added ('OK')	image/png	etag:%22b3a33ef-a59-564ef1ec8f100%22	http://gambolthemes.net/workwise_demo/HTML/images/logo.png	C:/Users/venkat/Desktop/friendbook/gambolthemes.net/workwise_demo/HTML/images/logo.png	(from http://gambolthemes.net/workwise_demo/HTML/)
21:20:48	1135/1135	---M--	200	added ('OK')	image/png	etag:%22b3a33df-46f-564f03a06b500%22	http://gambolthemes.net/workwise_demo/HTML/images/icon1.png	C:/Users/venkat/Desktop/friendbook/gambolthemes.net/workwise_demo/HTML/images/icon1.png	(from http://gambolthemes.net/workwise_demo/HTML/)
21:20:48	16488/16488	---M-Z	200	added ('OK')	text/html	etag:%22b3a33ab-4068-567f911ff1280-gzip%22	http://gambolthemes.net/workwise_demo/HTML/companies.html	C:/Users/venkat/Desktop/friendbook/gambolthemes.net/workwise_demo/HTML/companies.html	(from http://gambolthemes.net/workwise_demo/HTML/)
21:20:48	1113/1113	---M--	200	added ('OK')	image/png	etag:%22b3a33e1-459-564f03b936f80%22	http://gambolthemes.net/workwise_demo/HTML/images/icon2.png	C:/Users/venkat/Desktop/friendbook/gambolthemes.net/workwise_demo/HTML/images/icon2.png	(from http://gambolthemes.net/workwise_demo/HTML/)
21:20:49	32047/32047	---M-Z	200	added ('OK')	text/html	etag:%22b3a347b-7d2f-567f912f33680-gzip%22	http://gambolthemes.net/workwise_demo/HTML/projects.html	C:/Users/venkat/Desktop/friendbook/gambolthemes.net/workwise_demo/HTML/projects.html	(from http://gambolthemes.net/workwise_demo/HTML/)
21:20:49	1158/1158	---M--	200	added ('OK')	image/png	etag:%22b3a33e4-486-564f03ce32100%22	http://gambolthemes.net/workwise_demo/HTML/images/icon3.png	C:/Users/venkat/Desktop/friendbook/gambolthemes.net/workwise_demo/HTML/images/icon3.png	(from http://gambolthemes.net/workwise_demo/HTML/)
21:20:49	17296/17296	---M-Z	200	added ('OK')	text/html	etag:%22b3a347a-4390-567f912d4b200-gzip%22	http://gambolthemes.net/workwise_demo/HTML/profiles.html	C:/Users/venkat/Desktop/friendbook/gambolthemes.net/workwise_demo/HTML/profiles.html	(from http://gambolthemes.net/workwise_demo/HTML/)
21:20:50	1189/1189	---M--	200	added ('OK')	image/png	etag:%22b3a33e6-4a5-564f03e32d280%22	http://gambolthemes.net/workwise_demo/HTML/images/icon4.png	C:/Users/venkat/Desktop/friendbook/gambolthemes.net/workwise_demo/HTML/images/icon4.png	(from http://gambolthemes.net/workwise_demo/HTML/)
21:20:50	35180/35180	---M-Z	200	added ('OK')	text/html	etag:%22b3a347d-896c-567f912792480-gzip%22	http://gambolthemes.net/workwise_demo/HTML/user-profile.html	C:/Users/venkat/Desktop/friendbook/gambolthemes.net/workwise_demo/HTML/user-profile.html	(from http://gambolthemes.net/workwise_demo/HTML/)
21:20:51	68114/68114	---M-Z	200	added ('OK')	text/html	etag:%22b3a3478-10a12-567f9483c9200-gzip%22	http://gambolthemes.net/workwise_demo/HTML/my-profile-feed.html	C:/Users/venkat/Desktop/friendbook/gambolthemes.net/workwise_demo/HTML/my-profile-feed.html	(from http://gambolthemes.net/workwise_demo/HTML/)
21:20:51	31241/31241	---M-Z	200	added ('OK')	text/html	etag:%22b3a3462-7a09-567f913c8d600-gzip%22	http://gambolthemes.net/workwise_demo/HTML/jobs.html	C:/Users/venkat/Desktop/friendbook/gambolthemes.net/workwise_demo/HTML/jobs.html	(from http://gambolthemes.net/workwise_demo/HTML/)
21:20:51	1133/1133	---M--	200	added ('OK')	image/png	etag:%22b3a33e8-46d-564f03fde1180%22	http://gambolthemes.net/workwise_demo/HTML/images/icon5.png	C:/Users/venkat/Desktop/friendbook/gambolthemes.net/workwise_demo/HTML/images/icon5.png	(from http://gambolthemes.net/workwise_demo/HTML/)
21:20:52	1143/1143	---M--	200	added ('OK')	image/png	etag:%22b3a33ea-477-564f043160b00%22	http://gambolthemes.net/workwise_demo/HTML/images/icon6.png	C:/Users/venkat/Desktop/friendbook/gambolthemes.net/workwise_demo/HTML/images/icon6.png	(from http://gambolthemes.net/workwise_demo/HTML/)
21:20:52	4310/4310	---M--	200	added ('OK')	image/png	etag:%22b3a341d-10d6-567e9582df100%22	http://gambolthemes.net/workwise_demo/HTML/images/resources/ny-img1.png	C:/Users/venkat/Desktop/friendbook/gambolthemes.net/workwise_demo/HTML/images/resources/ny-img1.png	(from http://gambolthemes.net/workwise_demo/HTML/)
21:20:52	18939/18939	---M-Z	200	added ('OK')	text/html	etag:%22b3a3477-49fb-567f9138bcd00-gzip%22	http://gambolthemes.net/workwise_demo/HTML/messages.html	C:/Users/venkat/Desktop/friendbook/gambolthemes.net/workwise_demo/HTML/messages.html	(from http://gambolthemes.net/workwise_demo/HTML/)
21:20:53	4288/4288	---M--	200	added ('OK')	image/png	etag:%22b3a341e-10c0-567e96caef700%22	http://gambolthemes.net/workwise_demo/HTML/images/resources/ny-img2.png	C:/Users/venkat/Desktop/friendbook/gambolthemes.net/workwise_demo/HTML/images/resources/ny-img2.png	(from http://gambolthemes.net/workwise_demo/HTML/)
21:20:53	4708/4708	---M--	200	added ('OK')	image/png	etag:%22b3a341f-1264-567e96da31b00%22	http://gambolthemes.net/workwise_demo/HTML/images/resources/ny-img3.png	C:/Users/venkat/Desktop/friendbook/gambolthemes.net/workwise_demo/HTML/images/resources/ny-img3.png	(from http://gambolthemes.net/workwise_demo/HTML/)
21:20:53	1118/1118	---M--	200	added ('OK')	image/png	etag:%22b3a33eb-45e-564f04559e080%22	http://gambolthemes.net/workwise_demo/HTML/images/icon7.png	C:/Users/venkat/Desktop/friendbook/gambolthemes.net/workwise_demo/HTML/images/icon7.png	(from http://gambolthemes.net/workwise_demo/HTML/)
21:20:54	3623/3623	---M--	200	added ('OK')	image/png	etag:%22b3a344f-e27-564f09e0af480%22	http://gambolthemes.net/workwise_demo/HTML/images/resources/user.png	C:/Users/venkat/Desktop/friendbook/gambolthemes.net/workwise_demo/HTML/images/resources/user.png	(from http://gambolthemes.net/workwise_demo/HTML/)
21:20:54	28046/28046	---M-Z	200	added ('OK')	text/html	etag:%22b3a3479-6d8e-567f9134ec400-gzip%22	http://gambolthemes.net/workwise_demo/HTML/profile-account-setting.html	C:/Users/venkat/Desktop/friendbook/gambolthemes.net/workwise_demo/HTML/profile-account-setting.html	(from http://gambolthemes.net/workwise_demo/HTML/)
21:20:54	19197/19197	---M--	200	added ('OK')	image/png	etag:%22b3a3453-4afd-5650494aa0c00%22	http://gambolthemes.net/workwise_demo/HTML/images/resources/user-pic.png	C:/Users/venkat/Desktop/friendbook/gambolthemes.net/workwise_demo/HTML/images/resources/user-pic.png	(from http://gambolthemes.net/workwise_demo/HTML/)
21:20:55	4353/4353	---M--	200	added ('OK')	image/png	etag:%22b3a3449-1101-5650829dc4b00%22	http://gambolthemes.net/workwise_demo/HTML/images/resources/s1.png	C:/Users/venkat/Desktop/friendbook/gambolthemes.net/workwise_demo/HTML/images/resources/s1.png	(from http://gambolthemes.net/workwise_demo/HTML/)
21:20:55	4111/4111	---M--	200	added ('OK')	image/png	etag:%22b3a344a-100f-565082b0d7800%22	http://gambolthemes.net/workwise_demo/HTML/images/resources/s2.png	C:/Users/venkat/Desktop/friendbook/gambolthemes.net/workwise_demo/HTML/images/resources/s2.png	(from http://gambolthemes.net/workwise_demo/HTML/)
21:20:56	4144/4144	---M--	200	added ('OK')	image/png	etag:%22b3a344b-1030-565082c202080%22	http://gambolthemes.net/workwise_demo/HTML/images/resources/s3.png	C:/Users/venkat/Desktop/friendbook/gambolthemes.net/workwise_demo/HTML/images/resources/s3.png	(from http://gambolthemes.net/workwise_demo/HTML/)
21:20:56	4144/4144	---M--	200	added ('OK')	image/png	etag:%22b3a344c-1030-565082d514d80%22	http://gambolthemes.net/workwise_demo/HTML/images/resources/s4.png	C:/Users/venkat/Desktop/friendbook/gambolthemes.net/workwise_demo/HTML/images/resources/s4.png	(from http://gambolthemes.net/workwise_demo/HTML/)
21:20:56	4225/4225	---M--	200	added ('OK')	image/png	etag:%22b3a344d-1081-565082e827a80%22	http://gambolthemes.net/workwise_demo/HTML/images/resources/s5.png	C:/Users/venkat/Desktop/friendbook/gambolthemes.net/workwise_demo/HTML/images/resources/s5.png	(from http://gambolthemes.net/workwise_demo/HTML/)
21:20:57	4033/4033	---M--	200	added ('OK')	image/png	etag:%22b3a344e-fc1-565082f952300%22	http://gambolthemes.net/workwise_demo/HTML/images/resources/s6.png	C:/Users/venkat/Desktop/friendbook/gambolthemes.net/workwise_demo/HTML/images/resources/s6.png	(from http://gambolthemes.net/workwise_demo/HTML/)
21:20:57	2436/2436	---M--	200	added ('OK')	image/png	etag:%22b3a33f0-984-5653cb45d2680%22	http://gambolthemes.net/workwise_demo/HTML/images/logo2.png	C:/Users/venkat/Desktop/friendbook/gambolthemes.net/workwise_demo/HTML/images/logo2.png	(from http://gambolthemes.net/workwise_demo/HTML/)
21:20:57	1246/1246	---M--	200	added ('OK')	image/png	etag:%22b3a33d5-4de-5653cb9405f00%22	http://gambolthemes.net/workwise_demo/HTML/images/cp.png	C:/Users/venkat/Desktop/friendbook/gambolthemes.net/workwise_demo/HTML/images/cp.png	(from http://gambolthemes.net/workwise_demo/HTML/)
21:20:57	6771/6771	---M--	200	added ('OK')	image/png	etag:%22b3a3457-1a73-56545fb405780%22	http://gambolthemes.net/workwise_demo/HTML/images/resources/us-pic.png	C:/Users/venkat/Desktop/friendbook/gambolthemes.net/workwise_demo/HTML/images/resources/us-pic.png	(from http://gambolthemes.net/workwise_demo/HTML/)
21:20:58	1196/1196	---M--	200	added ('OK')	image/png	etag:%22b3a33cf-4ac-56546786bcc80%22	http://gambolthemes.net/workwise_demo/HTML/images/clock.png	C:/Users/venkat/Desktop/friendbook/gambolthemes.net/workwise_demo/HTML/images/clock.png	(from http://gambolthemes.net/workwise_demo/HTML/)
21:20:58	1249/1249	---M--	200	added ('OK')	image/png	etag:%22b3a33ec-4e1-56550f2de5780%22	http://gambolthemes.net/workwise_demo/HTML/images/icon8.png	C:/Users/venkat/Desktop/friendbook/gambolthemes.net/workwise_demo/HTML/images/icon8.png	(from http://gambolthemes.net/workwise_demo/HTML/)
21:20:58	1236/1236	---M--	200	added ('OK')	image/png	etag:%22b3a33ed-4d4-56550f40f8480%22	http://gambolthemes.net/workwise_demo/HTML/images/icon9.png	C:/Users/venkat/Desktop/friendbook/gambolthemes.net/workwise_demo/HTML/images/icon9.png	(from http://gambolthemes.net/workwise_demo/HTML/)
21:20:59	5395/5395	---M--	200	added ('OK')	image/png	etag:%22b3a33ee-1513-56552a6efa480%22	http://gambolthemes.net/workwise_demo/HTML/images/liked-img.png	C:/Users/venkat/Desktop/friendbook/gambolthemes.net/workwise_demo/HTML/images/liked-img.png	(from http://gambolthemes.net/workwise_demo/HTML/)
21:20:59	1105/1105	---M--	200	added ('OK')	image/png	etag:%22b3a33d2-451-5655533f6ef80%22	http://gambolthemes.net/workwise_demo/HTML/images/com.png	C:/Users/venkat/Desktop/friendbook/gambolthemes.net/workwise_demo/HTML/images/com.png	(from http://gambolthemes.net/workwise_demo/HTML/)
21:20:59	7664/7664	---M--	200	added ('OK')	image/png	etag:%22b3a3450-1df0-56559a79afb80%22	http://gambolthemes.net/workwise_demo/HTML/images/resources/user1.png	C:/Users/venkat/Desktop/friendbook/gambolthemes.net/workwise_demo/HTML/images/resources/user1.png	(from http://gambolthemes.net/workwise_demo/HTML/)
21:21:00	1244/1244	---M--	200	added ('OK')	image/png	etag:%22b3a33d7-4dc-5655a043b2400%22	http://gambolthemes.net/workwise_demo/HTML/images/envelop.png	C:/Users/venkat/Desktop/friendbook/gambolthemes.net/workwise_demo/HTML/images/envelop.png	(from http://gambolthemes.net/workwise_demo/HTML/)
21:21:00	7921/7921	---M--	200	added ('OK')	image/png	etag:%22b3a3451-1ef1-56559a8ada400%22	http://gambolthemes.net/workwise_demo/HTML/images/resources/user2.png	C:/Users/venkat/Desktop/friendbook/gambolthemes.net/workwise_demo/HTML/images/resources/user2.png	(from http://gambolthemes.net/workwise_demo/HTML/)
21:21:00	8026/8026	---M--	200	added ('OK')	image/png	etag:%22b3a3452-1f5a-56559a9a1c800%22	http://gambolthemes.net/workwise_demo/HTML/images/resources/user3.png	C:/Users/venkat/Desktop/friendbook/gambolthemes.net/workwise_demo/HTML/images/resources/user3.png	(from http://gambolthemes.net/workwise_demo/HTML/)
21:21:00	4778/4778	---M--	200	added ('OK')	image/png	etag:%22b3a3456-12aa-565d42e312c80%22	http://gambolthemes.net/workwise_demo/HTML/images/resources/us-pc2.png	C:/Users/venkat/Desktop/friendbook/gambolthemes.net/workwise_demo/HTML/images/resources/us-pc2.png	(from http://gambolthemes.net/workwise_demo/HTML/)
21:21:01	5199/5199	---M--	200	added ('OK')	image/png	etag:%22b3a33fe-144f-565c38beac400%22	http://gambolthemes.net/workwise_demo/HTML/images/resources/bg-img1.png	C:/Users/venkat/Desktop/friendbook/gambolthemes.net/workwise_demo/HTML/images/resources/bg-img1.png	(from http://gambolthemes.net/workwise_demo/HTML/)
21:21:01	3721/3721	---M--	200	added ('OK')	image/png	etag:%22b3a33ff-e89-565c38d3a7580%22	http://gambolthemes.net/workwise_demo/HTML/images/resources/bg-img2.png	C:/Users/venkat/Desktop/friendbook/gambolthemes.net/workwise_demo/HTML/images/resources/bg-img2.png	(from http://gambolthemes.net/workwise_demo/HTML/)
21:21:01	5084/5084	---M--	200	added ('OK')	image/png	etag:%22b3a3400-13dc-565c38e6ba280%22	http://gambolthemes.net/workwise_demo/HTML/images/resources/bg-img3.png	C:/Users/venkat/Desktop/friendbook/gambolthemes.net/workwise_demo/HTML/images/resources/bg-img3.png	(from http://gambolthemes.net/workwise_demo/HTML/)
21:21:02	4955/4955	---M--	200	added ('OK')	image/png	etag:%22b3a3401-135b-565c942f90080%22	http://gambolthemes.net/workwise_demo/HTML/images/resources/bg-img4.png	C:/Users/venkat/Desktop/friendbook/gambolthemes.net/workwise_demo/HTML/images/resources/bg-img4.png	(from http://gambolthemes.net/workwise_demo/HTML/)
21:21:02	2961/2961	---M--	200	added ('OK')	image/png	etag:%22b3a33f7-b91-565d4122d8b00%22	http://gambolthemes.net/workwise_demo/HTML/images/process-icon.png	C:/Users/venkat/Desktop/friendbook/gambolthemes.net/workwise_demo/HTML/images/process-icon.png	(from http://gambolthemes.net/workwise_demo/HTML/)
21:21:02	6259/6259	---M--	200	added ('OK')	image/png	etag:%22b3a3460-1873-565d48dcc4580%22	http://gambolthemes.net/workwise_demo/HTML/images/wd-logo.png	C:/Users/venkat/Desktop/friendbook/gambolthemes.net/workwise_demo/HTML/images/wd-logo.png	(from http://gambolthemes.net/workwise_demo/HTML/)
21:21:03	11318/11318	---M--	200	added ('OK')	image/png	etag:%22b3a3458-2c36-567abb195b400%22	http://gambolthemes.net/workwise_demo/HTML/images/resources/usr-img1.png	C:/Users/venkat/Desktop/friendbook/gambolthemes.net/workwise_demo/HTML/images/resources/usr-img1.png	(from http://gambolthemes.net/workwise_demo/HTML/)
21:21:03	4081/4081	---M--	200	added ('OK')	image/png	etag:%22b3a3455-ff1-567cbce9d7180%22	http://gambolthemes.net/workwise_demo/HTML/images/resources/us-img1.png	C:/Users/venkat/Desktop/friendbook/gambolthemes.net/workwise_demo/HTML/images/resources/us-img1.png	(from http://gambolthemes.net/workwise_demo/HTML/)
21:21:04	10987/10987	---M--	200	added ('OK')	image/png	etag:%22b3a3459-2aeb-567abb3226e80%22	http://gambolthemes.net/workwise_demo/HTML/images/resources/usr-img2.png	C:/Users/venkat/Desktop/friendbook/gambolthemes.net/workwise_demo/HTML/images/resources/usr-img2.png	(from http://gambolthemes.net/workwise_demo/HTML/)
21:21:04	1818/1818	---M--	200	added ('OK')	image/png	etag:%22b3a33ce-71a-567abf8281c00%22	http://gambolthemes.net/workwise_demo/HTML/images/chat.png	C:/Users/venkat/Desktop/friendbook/gambolthemes.net/workwise_demo/HTML/images/chat.png	(from http://gambolthemes.net/workwise_demo/HTML/)
21:21:04	7322/7322	---M--	200	added ('OK')	image/png	etag:%22b3a345b-1c9a-567bd94c56e80%22	http://gambolthemes.net/workwise_demo/HTML/images/resources/usy1.png	C:/Users/venkat/Desktop/friendbook/gambolthemes.net/workwise_demo/HTML/images/resources/usy1.png	(from http://gambolthemes.net/workwise_demo/HTML/)
21:21:05	1898/1898	---M--	200	added ('OK')	image/png	etag:%22b3a345e-76a-567bdb4d6a900%22	http://gambolthemes.net/workwise_demo/HTML/images/smley.png	C:/Users/venkat/Desktop/friendbook/gambolthemes.net/workwise_demo/HTML/images/smley.png	(from http://gambolthemes.net/workwise_demo/HTML/)
21:21:05	7356/7356	---M--	200	added ('OK')	image/png	etag:%22b3a345c-1cbc-567bee8c19080%22	http://gambolthemes.net/workwise_demo/HTML/images/resources/usy2.png	C:/Users/venkat/Desktop/friendbook/gambolthemes.net/workwise_demo/HTML/images/resources/usy2.png	(from http://gambolthemes.net/workwise_demo/HTML/)
21:21:06	7619/7619	---M--	200	added ('OK')	image/png	etag:%22b3a345d-1dc3-567beeb9dfc80%22	http://gambolthemes.net/workwise_demo/HTML/images/resources/usy3.png	C:/Users/venkat/Desktop/friendbook/gambolthemes.net/workwise_demo/HTML/images/resources/usy3.png	(from http://gambolthemes.net/workwise_demo/HTML/)
21:21:09	18857/18857	---M--	200	added ('OK')	application/javascript	etag:%22b3a3469-49a9-564eef56b5780%22	http://gambolthemes.net/workwise_demo/HTML/js/popper.js	C:/Users/venkat/Desktop/friendbook/gambolthemes.net/workwise_demo/HTML/js/popper.js	(from http://gambolthemes.net/workwise_demo/HTML/)
21:21:14	51143/51143	---M--	200	added ('OK')	application/javascript	etag:%22b3a3464-c7c7-55cc9ce9b0100%22	http://gambolthemes.net/workwise_demo/HTML/js/bootstrap.min.js	C:/Users/venkat/Desktop/friendbook/gambolthemes.net/workwise_demo/HTML/js/bootstrap.min.js	(from http://gambolthemes.net/workwise_demo/HTML/)
21:21:15	153/153	---M--	200	added ('OK')	application/javascript	etag:%22b3a346b-99-567f7a166b880%22	http://gambolthemes.net/workwise_demo/HTML/js/scrollbar.js	C:/Users/venkat/Desktop/friendbook/gambolthemes.net/workwise_demo/HTML/js/scrollbar.js	(from http://gambolthemes.net/workwise_demo/HTML/)
21:21:15	42863/42863	---M--	200	added ('OK')	application/javascript	etag:%22b3a3475-a76f-559061e257380%22	http://gambolthemes.net/workwise_demo/HTML/lib/slick/slick.min.js	C:/Users/venkat/Desktop/friendbook/gambolthemes.net/workwise_demo/HTML/lib/slick/slick.min.js	(from http://gambolthemes.net/workwise_demo/HTML/)
21:21:16	97163/97163	---M--	200	added ('OK')	application/javascript	etag:%22b3a3467-17b8b-5588f2fbc7200%22	http://gambolthemes.net/workwise_demo/HTML/js/jquery.min.js	C:/Users/venkat/Desktop/friendbook/gambolthemes.net/workwise_demo/HTML/js/jquery.min.js	(from http://gambolthemes.net/workwise_demo/HTML/)
21:21:16	8263/8263	---M--	200	added ('OK')	application/javascript	etag:%22b3a346a-2047-567f8ab79f480%22	http://gambolthemes.net/workwise_demo/HTML/js/script.js	C:/Users/venkat/Desktop/friendbook/gambolthemes.net/workwise_demo/HTML/js/script.js	(from http://gambolthemes.net/workwise_demo/HTML/)
21:21:21	92949/92949	---M--	200	added ('OK')	application/javascript	etag:%22b3a3466-16b15-567cc6a6beb00%22	http://gambolthemes.net/workwise_demo/HTML/js/jquery.mCustomScrollbar.js	C:/Users/venkat/Desktop/friendbook/gambolthemes.net/workwise_demo/HTML/js/jquery.mCustomScrollbar.js	(from http://gambolthemes.net/workwise_demo/HTML/)
21:21:24	45108/45108	---M--	200	added ('OK')	font/woff2	etag:%22b3a33c5-b034-546f2dc8fe100%22	http://gambolthemes.net/workwise_demo/HTML/fonts/line-awesome.woff2?v=1.1.	C:/Users/venkat/Desktop/friendbook/gambolthemes.net/workwise_demo/HTML/fonts/line-awesomeeb4f.woff2	(from http://gambolthemes.net/workwise_demo/HTML/css/line-awesome.css)
21:21:31	57436/57436	---M--	200	added ('OK')	font/woff	etag:%22b3a33c4-e05c-546f2dc8fe100%22	http://gambolthemes.net/workwise_demo/HTML/fonts/line-awesome.woff?v=1.1.	C:/Users/venkat/Desktop/friendbook/gambolthemes.net/workwise_demo/HTML/fonts/line-awesomeeb4f.woff	(from http://gambolthemes.net/workwise_demo/HTML/css/line-awesome.css)
21:21:37	433695/433695	---M--	200	added ('OK')	image/svg+xml	etag:%22b3a33c2-69e1f-546f2dc8fe100%22	http://gambolthemes.net/workwise_demo/HTML/fonts/line-awesome.svg?v=1.1.	C:/Users/venkat/Desktop/friendbook/gambolthemes.net/workwise_demo/HTML/fonts/line-awesomeeb4f.svg	(from http://gambolthemes.net/workwise_demo/HTML/css/line-awesome.css)
21:21:38	112916/112916	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22b3a33c1-1b914-546f2dc8fe100%22	http://gambolthemes.net/workwise_demo/HTML/fonts/line-awesome.eot?v=1.1.	C:/Users/venkat/Desktop/friendbook/gambolthemes.net/workwise_demo/HTML/fonts/line-awesomeeb4f.eot	(from http://gambolthemes.net/workwise_demo/HTML/css/line-awesome.css)
21:21:38	112916/112916	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22b3a33c1-1b914-546f2dc8fe100%22	http://gambolthemes.net/workwise_demo/HTML/fonts/line-awesome.eot??v=1.1.	C:/Users/venkat/Desktop/friendbook/gambolthemes.net/workwise_demo/HTML/fonts/line-awesome0176.eot	(from http://gambolthemes.net/workwise_demo/HTML/css/line-awesome.css)
21:21:40	112728/112728	---M--	200	added ('OK')	font/ttf	etag:%22b3a33c3-1b858-546f2dc8fe100%22	http://gambolthemes.net/workwise_demo/HTML/fonts/line-awesome.ttf?v=1.1.	C:/Users/venkat/Desktop/friendbook/gambolthemes.net/workwise_demo/HTML/fonts/line-awesomeeb4f.ttf	(from http://gambolthemes.net/workwise_demo/HTML/css/line-awesome.css)
21:21:54	77160/77160	---M--	200	added ('OK')	font/woff2	etag:%22b3a33c0-12d68-5588f2f426000%22	http://gambolthemes.net/workwise_demo/HTML/fonts/fontawesome-webfont.woff2?v=4.7.0	C:/Users/venkat/Desktop/friendbook/gambolthemes.net/workwise_demo/HTML/fonts/fontawesome-webfont3e6e.woff2	(from http://gambolthemes.net/workwise_demo/HTML/css/font-awesome.min.css)
21:21:58	98024/98024	---M--	200	added ('OK')	font/woff	etag:%22b3a33bf-17ee8-5588f2f426000%22	http://gambolthemes.net/workwise_demo/HTML/fonts/fontawesome-webfont.woff?v=4.7.0	C:/Users/venkat/Desktop/friendbook/gambolthemes.net/workwise_demo/HTML/fonts/fontawesome-webfont3e6e.woff	(from http://gambolthemes.net/workwise_demo/HTML/css/font-awesome.min.css)
21:22:05	444379/444379	---M--	200	added ('OK')	image/svg+xml	etag:%22b3a33bd-6c7db-5588f2f426000%22	http://gambolthemes.net/workwise_demo/HTML/fonts/fontawesome-webfont.svg?v=4.7.0	C:/Users/venkat/Desktop/friendbook/gambolthemes.net/workwise_demo/HTML/fonts/fontawesome-webfont3e6e.svg	(from http://gambolthemes.net/workwise_demo/HTML/css/font-awesome.min.css)
